DATOS DE DEMANDA DE USUARIOS  ;;;
DEL 2018 AL 2025;;;
METRO DE PANAMµ S.A. - LÖNEA 1;;;
;TIPO DE DEMANDA;;
Mes;Laborable;S bados;Feriados
ene-18;251,595;194,234;82,150
feb-18;260,374;169,070;83,443
mar-18;277,487;222,283;91,326
abr-18;279,776;217,594;95,591
may-18;274,325;197,867;92,049
jun-18;274,945;220,230;91,271
jul-18;275,101;222,102;99,670
ago-18;281,305;219,871;99,340
sep-18;279,479;226,506;106,947
oct-18;292,999;230,847;102,343
nov-18;297,573;185,715;105,065
dic-18;291,330;258,191;127,701
ene-19;289,015;206,170;74,167
feb-19;277,373;196,466;96,085
mar-19;287,074;201,563;96,970
abr-19;300,678;287,122;95,964
may-19;364,789;287,122;151,369
jun-19;344,321;289,491;144,088
jul-19;338,400;272,836;133,622
ago-19;332,211;272,064;139,337
sep-19;323,043;272,064;123,989
oct-19;311,597;236,969;107,176
nov-19;314,026;235,151;109,614
dic-19;301,764;249,477;131,199
ene-20;280,382;202,290;92,473
feb-20;283,113;200,686;81,761
mar-20;161,011;91,477;52,837
abr-20;28,378;19,875;5,274
may-20;38,146;25,197;11,621
jun-20;58,066;36,944;0
jul-20;62,508;36,667;0
ago-20;78,640;48,392;0
sep-20;105,191;70,910;0
oct-20;135,064;110,985;36,965
nov-20;141,388;103,077;57,032
dic-20;151,303;126,114;60,898
ene-21;96,034;0;0
feb-21;152,759;0;55,004
mar-21;161,320;125,263;58,893
abr-21;161,691;119,759;57,263
may-21;159,823;133,642;71,095
jun-21;160,534;127,080;59,483
jul-21;162,477;130,906;56,753
ago-21;168,251;143,388;66,250
sep-21;173,303;137,604;65,564
oct-21;181,450;148,188;73,795
nov-21;190,096;131,223;72,584
dic-21;208,637;168,707;79,236
ene-22;166,695;112,515;64,187
feb-22;182,531;132,514;70,321
mar-22;207,095;158,502;76,036
abr-22;223,093;153,801;74,734
may-22;228,425;168,857;83,571
jun-22;236,002;175,666;83,954
jul-22;227,641;177,031;87,084
ago-22;238,883;182,282;90,483
sep-22;249,899;180,537;89,364
oct-22;255,125;187,269;94,639
nov-22;247,770;168,394;87,669
dic-22;263,811;187,355;107,211
ene-23;230,543;171,157;79,479
feb-23;235,532;151,652;82,415
mar-23;254,686;187,694;94,977
abr-23;264,072;176,307;84,154
may-23;260,142;180,382;85,891
jun-23;260,636;189,721;92,116
jul-23;252,469;192,369;96,588
ago-23;258,563;194,282;95,718
sep-23;274,752;197,706;96,784
oct-23;264,628;195,925;103,697
nov-23;250,423;165,793;96,791
dic-23;285,841;220,791;116,336
ene-24;248,697;184,222;85,900
feb-24;257,831;166,153;89,212
mar-24;268,753;187,296;89,889
abr-24;292,004;201,469;97,534
may-24;279,508;197,913;97,631
jun-24;280,666;205,427;96,616
jul-24;276,196;192,190;94,061
ago-24;274,821;201,032;98,796
sep-24;278,669;203,721;96,446
oct-24;287,138;193,088;94,907
nov-24;286,616;205,954;100,663
dic-24;286,347;222,379;123,259
ene-24;253,289;178,482;83,709
